player_name,nationality,goals_scored,assists_provided,dribbles_per_90,interceptions_per_90,tackles_per_90,total_duels_won_per_90,save_percentage,clean_sheets
Yeltsin Tejeda,Costa Rica,1.0,1.0,33.0,0.33,1.33,4.66,,
Yeremy Pino,Spain,,,,,,,,
Yoon Jong-gyu,South Korea,,,,,,,,
Youri Tielemans,Belgium,0.0,0.0,0.0,1.91,2.87,7.65,,
Yousef Hassan,Qatar,,,,,,,,
Youssef En-Nesyri,Morocco ,2.0,0.0,1.15,0.16,0.66,8.23,,
Youssef Msakni,Tunisia,0.0,0.0,2.65,0.0,1.59,9.0,,
Youssouf Fofana,France,0.0,0.0,0.8,1.21,3.21,5.22,,
Youssouf Sabaly,Senegal,0.0,0.0,1.25,1.0,1.5,7.5,,
Youssoufa Moukoko,Germany,0.0,0.0,0.0,0.0,0.0,0.0,,
Youstin Salas,Costa Rica,,,,,,,,
Yuki Soma,Japan,0.0,0.0,2.2,0.0,2.2,6.59,,
Yunus Musah,USA,0.0,0.0,,,,,,
Yussuf Yurary Poulsen,Denmark,,,,,,,,
Yuto Nagatomo,Japan,0.0,0.0,1.69,0.0,1.69,3.8,,
Zakaria Aboukhlal,Morocco ,1.0,0.0,1.23,1.23,0.0,4.94,,
Zeno Debast,Belgium,,,,,,,,
